goos: darwin
goarch: arm64
pkg: github.com/anz-bank/decimal
cpu: Apple M1 Pro
BenchmarkDecimal64Cmp-8       	41388051	        27.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Cmp-8       	43984304	        28.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Cmp-8       	42734409	        27.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Cmp-8       	44040805	        28.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	85203574	        14.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	80255924	        14.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	84968288	        14.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	82119829	        14.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	81787977	        14.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	84927192	        14.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	87520968	        14.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	85842282	        14.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	78899136	        14.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Mul-8       	85181898	        14.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        12.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Quo-8       	100000000	        11.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	19844865	        60.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20494748	        58.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20498599	        60.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20007349	        58.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	18637399	        58.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20695660	        59.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	19583150	        58.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20695111	        59.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20382626	        58.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sqrt-8      	20125687	        61.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	46675125	        25.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	43924802	        24.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	49469404	        25.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	47965386	        24.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	48109288	        25.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	48162306	        24.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	49394319	        25.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	47209552	        25.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	46517712	        24.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecimal64Sub-8       	48228926	        25.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkParse64-8            	 4842859	       254.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4824586	       259.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4661959	       250.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4812226	       255.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4817658	       255.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4719286	       250.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4825906	       257.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4189063	       263.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4710994	       250.3 ns/op	      64 B/op	       2 allocs/op
BenchmarkParse64-8            	 4862823	       255.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 6943436	       173.7 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 6828739	       171.4 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 7052004	       176.6 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 7157178	       186.1 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 6627220	       171.7 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 7007923	       176.1 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 7167757	       174.2 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 6785419	       172.2 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 7026612	       175.7 ns/op	      80 B/op	       2 allocs/op
BenchmarkDecimal64Scan-8      	 6864578	       172.7 ns/op	      80 B/op	       2 allocs/op
PASS
ok  	github.com/anz-bank/decimal	171.698s
